Comment,Designator,Footprint,LCSC,Quantity
56u,C2,CP_Radial_D8.0mm_P2.50mm,C106629,1
10u,"C11,C12",C_1206_3216Metric,C13585,2
0.1uF,"C14,C15,C3,C6,C9",C_0603_1608Metric,C14663,5
SM15T33CA,D3,D_SMC,C151281,1
1uF,"C4,C7",C_0603_1608Metric,C15849,2
330p,C10,C_0603_1608Metric,C1664,1
LMR14020,U3,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,C187824,1
POWER TERMINAL,J1,"TerminalBlock_Phoenix_MKDS-1,5-4_1x04_P5.00mm_Horizontal",C192769,1
4.7u,"C1,C13",C_0603_1608Metric,C19666,2
120,"R6,R8,R9",R_0603_1608Metric,C22787,3
12k,R4,R_0603_1608Metric,C22790,1
1,R2,R_0603_1608Metric,C22936,1
220,R7,R_0603_1608Metric,C22962,1
LED,"D7,D8,D9",LED_0805_2012Metric,C2297,3
68k,R5,R_0603_1608Metric,C23231,1
10k,"R1,R3",R_0603_1608Metric,C25804,2
WS2812B,"D1,D2",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C2761795,2
2.2u,L1,L_1210_3225Metric,C286757,1
ESP32-S3-MINI-1,U1,ESP32-S3-MINI-1U,C2980299,1
RESET1,"SW1,SW2,SW3",SW_SPST_TL3342,C318884,3
10u,L2,L_Sunlord_MWSA0503S,C408412,1
USB_B_Micro,J3,USB_Micro-B_Amphenol_10103594-0001LF_Horizontal,C428495,1
TJA1051T-3,U5,SOIC-8_3.9x4.9mm_P1.27mm,C5342108,1
GPIO TERTMINAL,J5,"TerminalBlock_Phoenix_PT-1,5-8-3.5-H_1x08_P3.50mm_Horizontal",C5349548,1
10nF,"C5,C8",C_0603_1608Metric,C57112,2
AMS1117-3.3,U4,SOT-223-3_TabPin2,C6186,1
USBLC6-2SC6,U2,SOT-23-6,C7519,1
D_Schottky,"D4,D5,D6",D_SMA,C8678,3
